2020	7	5	4	40	0.75	9.09	5.38
2020	7	5	5	40	0.71	10	5.4
2020	7	5	6	40	0.67	8.33	5.5
2020	7	5	7	40	0.7	8.33	5.4
2020	7	5	8	40	0.62	9.09	5.29
2020	7	5	9	40	0.68	8.33	5.27
2020	7	5	10	40	0.66	9.09	5.39
2020	7	5	11	40	0.63	8.33	5.22
2020	7	5	12	40	0.62	8.33	5.52
2020	7	5	13	40	0.58	9.09	5.59
2020	7	5	14	40	0.55	8.33	5.62
2020	7	5	15	40	0.54	8.33	5.69
2020	7	5	16	40	0.52	9.09	5.85
2020	7	5	17	40	0.52	9.09	5.96
2020	7	5	18	40	0.55	9.09	6.18
2020	7	5	19	40	0.5	7.69	5.89
2020	7	5	20	40	0.57	9.09	6.51
2020	7	5	21	40	0.56	9.09	6.53
2020	7	5	22	40	0.58	9.09	6.73
2020	7	5	23	40	0.54	9.09	6.56
2020	7	6	0	40	0.56	9.09	6.3
2020	7	6	1	40	0.54	9.09	6.47
2020	7	6	2	40	0.57	10	6.46
2020	7	6	3	40	0.6	9.09	6.41
2020	7	6	4	40	0.6	9.09	6.46
2020	7	6	5	40	0.55	8.33	6.36
2020	7	6	6	40	0.54	10	6.3
2020	7	6	7	40	0.56	10	6.52
2020	7	6	8	40	0.56	9.09	6.26
2020	7	6	9	40	0.54	9.09	6.42
2020	7	6	10	40	0.6	8.33	6.76
2020	7	6	11	40	0.6	9.09	6.6
2020	7	6	12	40	0.58	9.09	6.36
2020	7	6	13	40	0.58	8.33	6.32
2020	7	6	14	40	0.57	9.09	6.18
2020	7	6	15	40	0.57	9.09	6.37
2020	7	6	16	40	0.64	7.69	6.4
2020	7	6	17	40	0.63	8.33	6.31
2020	7	6	18	40	0.59	8.33	6.17
2020	7	6	19	40	0.6	8.33	6.19
2020	7	6	20	40	0.64	8.33	6.47
2020	7	6	21	40	0.64	9.09	6.38
2020	7	6	22	40	0.67	9.09	6.6
2020	7	6	23	40	0.66	8.33	6.32
2020	7	7	0	40	0.68	8.33	6.34
2020	7	7	1	40	0.67	9.09	6.44
2020	7	7	2	40	0.63	8.33	6.06
2020	7	7	3	40	0.7	9.09	6.41
